latitude,longitude,elevation,distance
-12.432373,130.881873,17.6,6.578
-12.432367,130.882777,18,6.676
-12.43236,130.88368,16.1,6.774
-12.432356,130.88455,15.6,6.869
-12.432351,130.88542,15.2,6.963
-12.432347,130.88629,16.1,7.058
-12.432343,130.88716,17.1,7.152
-12.432339,130.88803,16.7,7.247
-12.432334,130.8889,17.1,7.342
-12.43233,130.88977,19.3,7.436
-12.43233,130.88997,19.5,7.458
-12.43234,130.89057,20.4,7.523
-12.43235,130.89071,20.5,7.538
-12.43241,130.89133,21.3,7.606
-12.43244,130.89153,21.7,7.628
-12.4325,130.89186,22.7,7.665
-12.43254,130.89211,23.6,7.692
-12.4326,130.89238,24.6,7.722
-12.43269,130.89275,25.8,7.764
-12.4328,130.89315,26.4,7.809
-12.43294,130.8936,27.6,7.86
-12.4331,130.8941,28.3,7.917
-12.43325,130.89447,28.9,7.961
-12.43353,130.89506,28,8.032
-12.43372,130.89543,26.1,8.078
-12.43404,130.89596,22,8.146
-12.4345,130.89667,17.9,8.238
-12.43475,130.89702,17,8.285
-12.43483,130.89711,16.7,8.299
-12.43496,130.89729,16.3,8.323
-12.435437,130.897873,13.8,8.406
-12.435913,130.898457,11.9,8.488
-12.43639,130.89904,12,8.571
-12.43657,130.89932,12.1,8.607
-12.43678,130.89959,13.2,8.645
-12.43689,130.89974,14,8.665
-12.43705,130.89998,15.3,8.697
-12.43725,130.90028,16.5,8.736
-12.43728,130.90032,16.8,8.742
-12.43741,130.90049,17.7,8.765
-12.43754,130.90071,18.9,8.793
-12.43765,130.90088,20.2,8.815
-12.43774,130.90104,21.5,8.835
-12.43791,130.90134,23.8,8.873
-12.43802,130.90153,25.4,8.897
-12.43817,130.9018,27.5,8.931
-12.4383,130.90206,29.2,8.963
-12.43847,130.90248,30.4,9.012
-12.43863,130.90284,31.3,9.055
-12.43874,130.90315,31.9,9.091
-12.43882,130.90338,32.4,9.118
-12.43887,130.90358,32.9,9.14
-12.43895,130.9038,33.6,9.165
-12.43902,130.90408,34.2,9.197
-12.43912,130.90447,35.4,9.241
-12.43919,130.90477,36.4,9.274
-12.43923,130.90501,36.8,9.301
-12.43929,130.90538,37.1,9.342
-12.4394,130.90603,36.8,9.413
-12.43947,130.90644,36.6,9.458
-12.43951,130.90662,36.5,9.479
-12.43952,130.9067,36.4,9.487
-12.43958,130.9071,36.4,9.531
-12.43959,130.90715,36.4,9.537
-12.43966,130.90753,36.6,9.579
-12.439815,130.908345,34.5,9.669
-12.43997,130.90916,33,9.759
-12.44002,130.90937,33.2,9.783
-12.44027,130.91018,33.2,9.875
-12.44042,130.91062,32,9.926
-12.44064,130.91117,29.6,9.991
-12.44088,130.91171,26.6,10.055
-12.44102,130.91195,24.6,10.085
-12.44115,130.91221,22.7,10.117
-12.44135,130.91259,20.1,10.164
-12.44151,130.91287,18.6,10.199
-12.44157,130.91296,18.1,10.211
-12.44205,130.91365,15.3,10.303
-12.442345,130.914045,14.5,10.357
-12.44264,130.91444,14.1,10.411
-12.44271,130.91453,14.1,10.424
-12.44295,130.91486,14.2,10.469
-12.4433,130.91529,14.2,10.529
-12.4438,130.91594,12.9,10.619
-12.44413,130.91633,12.7,10.676
-12.44431,130.91653,13,10.705
-12.44449,130.91671,13.4,10.733
-12.44479,130.91699,13.7,10.778
-12.44501,130.91715,13.9,10.808
-12.44539,130.91741,14.6,10.859
-12.44579,130.91765,15.3,10.911
-12.44636,130.91797,15.8,10.983
-12.44657,130.91809,15.8,11.01
-12.44694,130.91832,16.2,11.058
-12.44721,130.91849,16.7,11.093
-12.4477,130.9188,17.4,11.158
-12.44816,130.91908,17.3,11.217
-12.44845,130.9193,17.6,11.257
-12.44872,130.91956,18.5,11.299
-12.44875,130.9196,18.6,11.304
-12.44897,130.91984,18.8,11.34
-12.44921,130.92016,17.6,11.384
-12.44939,130.92048,16.3,11.424
-12.44957,130.92085,14.7,11.469
-12.44962,130.92097,14.3,11.483
-12.44969,130.92114,13.9,11.503
-12.44974,130.92136,13.5,11.528
-12.4498,130.92163,13.5,11.558
-12.44986,130.92194,13.5,11.592
-12.44992,130.92229,13.5,11.631
-12.44992,130.92231,13.5,11.633
-12.44993,130.92245,13.5,11.648
-12.44992,130.9225,13.5,11.654
-12.44992,130.92269,13.5,11.674
-12.4499,130.92283,13.6,11.69
-12.4499,130.92304,13.8,11.712
-12.44991,130.92341,14,11.753
-12.44991,130.92359,14,11.772
-12.4499,130.92381,14,11.796
-12.449905,130.924355,14.9,11.855
-12.44991,130.9249,16.2,11.915
-12.44992,130.925425,17,11.972
-12.44993,130.92595,17.7,12.029
-12.44994,130.92644,18.7,12.082
-12.44997,130.92682,19.4,12.124
-12.45005,130.92728,20,12.174
-12.4502,130.92793,20.7,12.247
-12.45038,130.928485,21.2,12.311
-12.45056,130.92904,21.7,12.374
-12.4507,130.92948,21.9,12.424
-12.45084,130.92992,22.5,12.475
-12.451055,130.93058,24,12.55
-12.45127,130.93124,26.1,12.626
-12.45152,130.93203,29,12.716
-12.45177,130.93282,29.4,12.806
-12.452013,130.933577,28.6,12.893
-12.452257,130.934333,27.5,12.98
-12.4525,130.93509,22.5,13.066
-12.452723,130.93579,19.1,13.146
-12.452947,130.93649,17.1,13.226
-12.45317,130.93719,16.7,13.306
-12.453345,130.9377,15.6,13.365
-12.45352,130.93821,14.7,13.424
-12.453715,130.93875,14,13.487
-12.45391,130.93929,14.3,13.549
-12.45408,130.939725,15.1,13.6
-12.45425,130.94016,15.5,13.651
-12.454495,130.94075,15.4,13.721
-12.45474,130.94134,13.9,13.79
-12.45507,130.942082,13.2,13.879
-12.4554,130.942825,13.5,13.968
-12.45573,130.943567,13.1,14.056
-12.45606,130.94431,13.3,14.145
-12.45617,130.9446,13.6,14.179
-12.4565,130.94535,13.8,14.268
-12.4566,130.94556,13.9,14.294
-12.45681,130.94599,14.3,14.346
-12.45683,130.94606,14.4,14.354
-12.45689,130.94621,14.6,14.371
-12.45692,130.94628,14.6,14.38
-12.457187,130.94689,14.8,14.452
-12.457453,130.9475,14.1,14.525
-12.45772,130.94811,15,14.598
-12.457935,130.94859,16.5,14.655
-12.45815,130.94907,17.4,14.713
-12.45834,130.94949,18,14.763
-12.45853,130.94991,18.6,14.813
-12.4588,130.95048,18.5,14.882
-12.45907,130.951,18,14.946
-12.45922,130.9513,18,14.983
-12.45954,130.9518,17.6,15.048
-12.45979,130.95222,17,15.101
-12.46007,130.95264,16.3,15.156
-12.46035,130.95306,16.1,15.212
-12.46053,130.95332,16,15.246
-12.46069,130.95355,15.8,15.277
-12.461177,130.954317,16,15.376
-12.461663,130.955083,16.2,15.476
-12.46215,130.95585,17.3,15.575
-12.46253,130.95658,18.4,15.665
-12.4627,130.95694,18.7,15.709
-12.46293,130.95752,19.6,15.777
-12.46315,130.95809,21,15.843
-12.46325,130.95839,21.9,15.878
-12.46333,130.95866,23.1,15.908
-12.46345,130.95909,25,15.957
-12.4636,130.95966,27.4,16.021
-12.46371,130.9601,28.1,16.071
-12.46378,130.96048,28,16.113
-12.46385,130.96083,28.5,16.151
-12.46396,130.96144,29.8,16.219
-12.46407,130.96228,31.1,16.311
-12.46411,130.963,32.4,16.389
-12.46413,130.96336,33.6,16.429
-12.46412,130.96397,36,16.495
-12.46409,130.964435,37.5,16.546
-12.46406,130.9649,38.5,16.596
-12.463995,130.965575,38.6,16.67
-12.46393,130.96625,37.5,16.744
-12.46388,130.9667,36.7,16.793
-12.46382,130.96737,36.7,16.866
-12.4638,130.96763,36.1,16.894
-12.46377,130.96826,35,16.963
-12.46376,130.96878,34.2,17.019
-12.46378,130.96936,33.3,17.083
-12.4638,130.9699,31.8,17.141
-12.46382,130.97031,30.1,17.186
-12.46386,130.97081,27.9,17.24
-12.46396,130.97163,26.1,17.33
-12.46399,130.97192,26,17.362
-12.464083,130.972527,26.4,17.429
-12.464177,130.973133,26.4,17.495
-12.46427,130.97374,26.5,17.562
-12.46437,130.97425,27,17.619
-12.46443,130.97448,27.5,17.645
-12.4645,130.97474,28.1,17.674
-12.46457,130.97495,28.6,17.698
-12.46478,130.97559,31,17.771
-12.46501,130.97615,32.3,17.837
-12.46541,130.97695,33,17.935
-12.46569,130.9774,32,17.993
-12.466005,130.97789,30.6,18.057
-12.46632,130.97838,30.3,18.121
-12.46679,130.97908,30.2,18.213
-12.46726,130.97978,31.5,18.305
-12.46739,130.98007,31.9,18.34
-12.46766,130.98047,32.3,18.393
-12.46798,130.980975,32.8,18.458
-12.4683,130.98148,33,18.524
-12.46851,130.98182,33,18.568
-12.46874,130.98222,32.9,18.618
-12.46903,130.98279,33.3,18.688
-12.46921,130.98319,33.7,18.736
-12.46926,130.98331,33.9,18.75
-12.46946,130.98389,35,18.817
-12.46955,130.98423,35.2,18.855
-12.46966,130.9847,35.3,18.908
-12.46972,130.98496,35.3,18.937
-12.46983,130.98544,35.9,18.99
-12.46994,130.98597,36.7,19.049
-12.470113,130.98679,37.3,19.14
-12.470287,130.98761,37.4,19.231
-12.47046,130.98843,37,19.323
-12.47055,130.98885,37.5,19.369
-12.4706,130.98911,38,19.398
-12.47074,130.98971,39.7,19.465
-12.47076,130.98982,40.2,19.477
-12.47085,130.9903,40.1,19.531
-12.47098,130.99087,40,19.594
-12.47107,130.99131,41.8,19.643
-12.47126,130.99204,43.4,19.725
-12.47143,130.99266,42.1,19.795
-12.47161,130.99319,41.4,19.856
-12.47168,130.99336,41.3,19.876
-12.47182,130.99372,42.3,19.918
-12.47204,130.99423,43.8,19.979
-12.4723,130.99479,44,20.046
-12.47253,130.99526,45.1,20.103
-12.473,130.99603,46.4,20.202
-12.47339,130.99664,45.6,20.281
-12.47365,130.997,45.3,20.33
-12.47369,130.99706,45.5,20.338
-12.47389,130.99733,46,20.375
-12.47395,130.99742,46.1,20.387
-12.47428,130.99784,46.4,20.445
-12.4747,130.99832,45.8,20.515
-12.47532,130.99897,43.5,20.614
-12.475777,130.999397,42,20.683
-12.476233,130.999823,39.8,20.752
-12.47669,131.00025,37.2,20.821
-12.477105,131.000645,35.3,20.884
-12.47752,131.00104,33.7,20.947
-12.477925,131.001415,33.3,21.007
-12.47833,131.00179,32.5,21.068
-12.47868,131.00212,31.5,21.121
-12.47903,131.00245,30.8,21.174
-12.479657,131.00305,31.4,21.27
-12.480283,131.00365,32.7,21.365
-12.48091,131.00425,35.7,21.461
-12.48117,131.00452,36,21.502
-12.4814,131.00475,35.3,21.538
-12.48177,131.00516,33.2,21.598
-12.48212,131.00558,31.5,21.658
-12.48232,131.00584,30.5,21.694
-12.48253,131.0061,29.5,21.731
-12.48266,131.00628,28.7,21.755
-12.4828,131.00645,28.2,21.779
-12.48294,131.00662,27.6,21.804
-12.48307,131.0068,27.2,21.828
-12.48321,131.00698,27,21.853
-12.48334,131.00715,26.6,21.876
-12.48348,131.00732,26.2,21.901
-12.48362,131.00748,25.9,21.924
-12.48369,131.00757,25.8,21.936
-12.48391,131.00781,26,21.972
-12.48414,131.00805,26.5,22.009
-12.48437,131.00828,27.1,22.045
-12.48469,131.00858,28.6,22.093
-12.48492,131.00879,30.4,22.127
-12.48502,131.00887,31.2,22.141
-12.48519,131.00901,32.6,22.166
-12.48536,131.00914,34,22.189
-12.48544,131.00921,34.7,22.201
-12.48562,131.00933,35.5,22.225
-12.4858,131.00946,36.3,22.249
-12.48598,131.00958,37,22.273
-12.48617,131.0097,37.2,22.298
-12.48635,131.0098,37.2,22.321
-12.48664,131.00996,37.1,22.358
-12.48702,131.01017,37.8,22.406
-12.4875,131.0104,39.4,22.465
-12.4879,131.01056,40.7,22.512
-12.48821,131.01068,41.1,22.549
-12.48852,131.01078,41.3,22.586
-12.48865,131.01083,41.4,22.601
-12.48873,131.01085,41.4,22.61
-12.48898,131.01092,41.7,22.639
-12.48905,131.01094,41.8,22.647
-12.48947,131.01104,42.1,22.695
-12.48968,131.01109,42.3,22.719
-12.48999,131.01116,42.7,22.754
-12.4901,131.01118,42.8,22.767
-12.49043,131.01124,42.4,22.804
-12.49065,131.01129,42.2,22.829
-12.49074,131.0113,42,22.839
-12.49139,131.01143,42.9,22.913
-12.49181,131.01151,42.7,22.961
-12.49203,131.01156,42.5,22.986
-12.49255,131.01167,42.8,23.045
-12.49306,131.0118,43.3,23.103
-12.49335,131.01188,43.7,23.137
-12.49365,131.01198,44,23.172
-12.49397,131.01209,44.2,23.209
-12.49437,131.01225,44.5,23.257
-12.49487,131.01247,44.3,23.318
-12.49505,131.01256,43.9,23.34
-12.49545,131.01276,43.1,23.39
-12.49584,131.01299,43.2,23.44
-12.49651,131.01337,44.4,23.525
-12.49659,131.01341,44.5,23.535
-12.49726,131.01378,45.1,23.62
-12.49752,131.01392,45.6,23.652
-12.49759,131.01396,45.8,23.661
-12.4977,131.01402,45.9,23.675
-12.49783,131.0141,45.6,23.692
-12.49806,131.01425,45.3,23.722
-12.498653,131.0146,45.5,23.799
-12.499247,131.01495,46.2,23.875
-12.49984,131.0153,46.1,23.951
-12.50042,131.01563,45.7,24.025
-12.50099,131.015955,45.2,24.098
-12.50156,131.01628,45.7,24.17
-12.50199,131.01653,46.1,24.225
-12.502727,131.01695,45.2,24.319
-12.503463,131.01737,42.9,24.413
-12.5042,131.01779,41,24.507
-12.504605,131.018025,40,24.559
-12.50501,131.01826,39.1,24.61
-12.50558,131.018587,39.5,24.683
-12.50615,131.018913,39.8,24.756
-12.50672,131.01924,39,24.828
-12.50698,131.01939,39,24.862
-12.50712,131.01947,38.9,24.88
-12.50745,131.01966,39,24.922
-12.50749,131.01969,39,24.927
-12.50782,131.01988,38.9,24.969
-12.50849,131.02026,38,25.055
-12.50923,131.02069,36,25.149
-12.5098,131.02103,34,25.223
-12.51035,131.02137,30.6,25.294
-12.51105,131.02189,26.6,25.391
-12.51163,131.02239,25.4,25.475
-12.51225,131.023,24.9,25.571
-12.51254,131.02333,23.6,25.619
-12.51289,131.02376,22.2,25.68
-12.51314,131.0241,20.6,25.726
-12.51331,131.02434,19.6,25.758
-12.51353,131.02468,19.7,25.803
-12.51366,131.0249,19.7,25.83
-12.51369,131.02495,19.7,25.837
-12.51401,131.02551,20.3,25.907
-12.51421,131.02592,21.5,25.957
-12.5145,131.02657,22.7,26.035
-12.51463,131.02693,24,26.077
-12.51471,131.02719,25.2,26.106
-12.51484,131.02757,27.6,26.15
-12.51507,131.0284,33.3,26.244
-12.51508,131.02841,33.4,26.245
-12.51529,131.02927,35.5,26.342
-12.5155,131.03005,36.6,26.43
-12.51568,131.030615,37.8,26.494
-12.51586,131.03118,38.9,26.559
-12.5161,131.03172,39.7,26.623
-12.51639,131.03228,40.1,26.692
-12.51659,131.03259,40.6,26.732
-12.51697,131.03317,40.2,26.808
-12.51742,131.033813,41,26.894
-12.51787,131.034457,40.6,26.98
-12.51832,131.0351,41.2,27.066
-12.51877,131.035743,42.7,27.152
-12.51922,131.036387,44.6,27.238
-12.51967,131.03703,45,27.324
-12.520053,131.03758,44.4,27.398
-12.520437,131.03813,44.2,27.471
-12.52082,131.03868,44.8,27.545
-12.521335,131.039415,45.5,27.643
-12.52185,131.04015,45.5,27.741
-12.52209,131.04048,45.9,27.786
-12.52233,131.04081,46,27.831
-12.52256,131.04115,46.3,27.876
-12.523015,131.04181,46.5,27.964
-12.52347,131.04247,46.2,28.051
-12.52366,131.04272,46.1,28.086
-12.52396,131.04315,46.6,28.143
-12.524235,131.043535,46.5,28.195
-12.52451,131.04392,46.3,28.247
-12.52462,131.04409,46.2,28.269
-12.52477,131.04429,46.2,28.296
-12.52481,131.04436,46.4,28.305
-12.5249,131.04449,46.9,28.323
-12.52506,131.04471,47.8,28.352
-12.52507,131.04472,47.9,28.354
-12.52556,131.04543,48.8,28.448
-12.525865,131.04584,49.4,28.504
-12.52617,131.04625,50,28.56
-12.52654,131.04669,50.5,28.624
-12.526935,131.047125,50.4,28.688
-12.52733,131.04756,50,28.753
-12.52781,131.04805,50.6,28.828
-12.52839,131.04862,50.3,28.918
-12.529026,131.049152,50.2,29.009
-12.529662,131.049684,50.3,29.1
-12.530298,131.050216,50.1,29.192
-12.530934,131.050748,50,29.283
-12.53157,131.05128,49,29.375
-12.53205,131.051665,47.9,29.443
-12.53253,131.05205,47.5,29.51
-12.533205,131.05261,46.7,29.607
-12.53388,131.05317,47.2,29.704
-12.534367,131.053557,47,29.772
-12.534853,131.053943,46.7,29.841
-12.53534,131.05433,46,29.909
-12.53586,131.054745,46.2,29.983
-12.53638,131.05516,47.7,30.056
-12.536937,131.05564,50.9,30.137
-12.537493,131.05612,50.4,30.218
-12.53805,131.0566,49,30.299
-12.53862,131.05713,48.9,30.385
-12.53919,131.05766,49.8,30.471
-12.53976,131.05819,49.9,30.556
-12.54033,131.05872,48.9,30.642
-12.54091,131.0592,48.2,30.725
-12.54152,131.05966,47.9,30.809
-12.54197,131.05998,47.6,30.87
-12.54242,131.0603,46.5,30.931
-12.54256,131.0604,46.6,30.95
-12.54317,131.06083,47.2,31.033
-12.54378,131.06126,47,31.115
-12.544307,131.06164,47.6,31.187
-12.544833,131.06202,47.2,31.259
-12.54536,131.0624,46.8,31.33
-12.546065,131.062898,47.1,31.426
-12.54677,131.063397,46.5,31.521
-12.547475,131.063895,46.6,31.616
-12.54818,131.064393,45.9,31.712
-12.548885,131.064892,45.4,31.807
-12.54959,131.06539,43.8,31.902
-12.55016,131.065805,43.2,31.98
-12.55073,131.06622,43,32.058
-12.55082,131.06627,43,32.069
-12.55083,131.06628,43.1,32.071
-12.55127,131.06659,43,32.13
-12.55171,131.0669,43,32.19
-12.5524,131.0674,43.2,32.284
-12.553,131.067827,43.3,32.365
-12.5536,131.068253,42.5,32.447
-12.5542,131.06868,43.5,32.528
-12.5545,131.06889,44,32.568
-12.55518,131.06937,42.6,32.66
-12.555748,131.069763,42.1,32.736
-12.556315,131.070155,42.9,32.813
-12.556882,131.070547,42.9,32.889
-12.55745,131.07094,42.7,32.965
-12.55779,131.07117,43,33.01
-12.55849,131.07162,43.2,33.102
-12.55925,131.07203,42.6,33.198
-12.5597,131.072245,42.6,33.253
-12.56015,131.07246,42.1,33.309
-12.560885,131.07274,42.4,33.396
-12.56162,131.07302,40.8,33.483
-12.5619,131.0731,40.4,33.516
-12.5623,131.07322,40.2,33.562
-12.56271,131.07334,40.4,33.609
-12.56332,131.07346,40.3,33.679
-12.56382,131.07353,39.9,33.735
-12.56386,131.07354,39.9,33.739
-12.56441,131.0736,39,33.801
-12.56522,131.07367,37,33.891
-12.56531,131.07366,36.8,33.901
-12.56548,131.07367,36.4,33.92
-12.56613,131.073673,35.4,33.993
-12.56678,131.073677,34.3,34.065
-12.56743,131.07368,33.4,34.137
-12.56831,131.07368,32,34.235
-12.56919,131.07368,30.9,34.333
-12.57007,131.07368,30.9,34.431
-12.57072,131.07368,31,34.504
-12.57137,131.07368,31.3,34.576
-12.57167,131.07368,31.7,34.609
-12.57216,131.07368,32.5,34.664
-12.57265,131.07368,33.2,34.719
-12.57294,131.07367,33.6,34.751
-12.57345,131.07367,34.2,34.808
-12.57389,131.07367,34.6,34.857
-12.57472,131.07367,33.9,34.949
-12.57555,131.07367,34,35.041
-12.57638,131.07367,34.6,35.134
-12.577078,131.07367,34.8,35.211
-12.577775,131.07367,33.4,35.289
-12.578472,131.07367,31.4,35.367
-12.57917,131.07367,29.4,35.444
-12.580017,131.073668,27.9,35.539
-12.580865,131.073665,26.7,35.633
-12.581713,131.073662,26.2,35.727
-12.58256,131.07366,26.8,35.822
-12.583315,131.073665,27,35.906
-12.58407,131.07367,27.9,35.99
-12.5847,131.073667,28,36.06
-12.58533,131.073663,28.7,36.13
-12.58596,131.07366,29.6,36.2
-12.58665,131.073655,30,36.277
-12.58734,131.07365,31.4,36.354
-12.58809,131.07365,31.3,36.437
-12.58882,131.07365,30.1,36.519
-12.58968,131.07365,29.9,36.614
-12.59054,131.07365,30.5,36.71
-12.591272,131.073646,29.1,36.792
-12.592004,131.073642,27,36.873
-12.592736,131.073638,25.3,36.955
-12.593468,131.073634,24.8,37.036
-12.5942,131.07363,24.2,37.118
-12.59491,131.07364,23.2,37.197
-12.59562,131.07365,22.1,37.276
-12.59637,131.07364,21,37.359
-12.597159,131.073637,20.8,37.447
-12.597947,131.073634,21.7,37.535
-12.598736,131.073631,21,37.622
-12.599524,131.073629,20.4,37.71
-12.600313,131.073626,20.4,37.798
-12.601101,131.073623,20.9,37.886
-12.60189,131.07362,20,37.974
-12.60273,131.07362,17.8,38.067
-12.603487,131.073617,17.8,38.151
-12.604243,131.073613,17.6,38.236
-12.605,131.07361,17.1,38.32
-12.605757,131.07362,17.1,38.404
-12.606513,131.07363,16.3,38.488
-12.60727,131.07364,15.8,38.573
-12.608003,131.07364,16.7,38.654
-12.608735,131.07364,16.2,38.736
-12.609468,131.07364,16.2,38.817
-12.6102,131.07364,17.9,38.899
-12.610932,131.073617,18.2,38.98
-12.611665,131.073595,18.3,39.062
-12.612398,131.073572,19.4,39.143
