,latitude,longitude,elevation,distance,speedMin,speedMax,heading,car__rSOC,simName,d_distance,d_elevation,inclination_angle,inclination_angle_deg,stintNumber,speed,time,day,time_unix,d_time,d_timeDriving,solar__sunElevationAngle,solar__sunAzimuthAngle,weather__airTemp,weather__airPressure,weather__humidity,weather__windSpeed,weather__windDirection,weather__windHeading,weather__airDensity,weather__cloudCover,weather__dewPoint,aero__headingDeltaCarWind,aero__vTailwind,aero__vCrossWind,aero__airSpeedForward,aero__dragForce,aero__dragPower,aero__d_dragEnergy,aero__dragEnergy,car__ForceNormal,car__ForceLongitudinal,mech__tyreRollingResistanceForce,mech__tyreRollingResistancePower,mech__d_tyreRollingResistanceEnergy,mech__tyreRollingResistanceEnergy,mech__chassisRollingResistanceForce,mech__chassisRollingResistancePower,mech__d_chassisRollingResistanceEnergy,mech__chassisRollingResistanceEnergy,mech__gravityResistanceForce,mech__gravityRollingResistancePower,mech__d_gravityRollingResistanceEnergy,mech__gravityRollingResistanceEnergy,mech__totalResistiveForce,mech__totalResistivePower,mech__d_totalResistiveEnergy,mech__totalResistiveEnergy,mech__gravitysRollingResistanceEnergy,elec__motorTorque,elec__motorSpeed,elec__motorSpeedRPM,elec__motorPowerTractive,elec__motorTempWinding,elec__motorTempMagnet,elec__motorMagnetRemanence,elec__motorCurrentPerPhase,elec__motorResistanceWinding,elec__motorPowerWinding,elec__motorPowerEddyCurrent,elec__motorPowerLossTotal,elec__motorPowerTotal,elec__efficiencyMotorController,elec__motorControllerPowerLoss,elec__batteryCellVoltage,elec__batteryPackVoltage,elec__batteryPackCurrent,elec__batteryPackPowerLoss,elec__totalLossesPower,elec__d_totalLossesEnergy,elec__totalLossesEnergy,solar__sunAzimuthRelativeCar,solar__rotationX,solar__rotationY,solar__projectedAreaRatio,solar__projectedArea,solar__powerIncidentOnArray,solar__powerCapturedArray,solar__d_energyCapturedArray,solar__energyCapturedArray,car__powerUsed,car__d_energyUsed,car__energyUsed,car__SOC_Delta,car__powerDelta,car__SOC,sens__powerPerKph,sens__energyPerKph,onSpeedMin,onSpeedMax,sens_powerPerKphDeltaToMax,sens_powerPerKphDeltaToMin,sens_powerPerKphDeltaToMax_gated,sens_powerPerKphDeltaToMin_gated,sens_powerPerKph_weightAdd,sens_powerPerKph_weightSubtract
0,-12.46322,130.84618,24.7,0.0,0,999,70.88808925918482,1.0,20191011_Bsl_NoWeather_Tgt_-2,0.0,0.0,0.0,0.0,1,92.31665954586454,2019-10-13 08:30:00.000000,1,1570955400.0,0,0,30,91,30,101250,0,0,0,180,1.225,0.0,6.0,109.11191074081518,-0.0,0.0,92.31665954586454,112.77667480669459,2891.990525790084,0,0,8433.719,0.0,50.60231399999999,1297.6212760474818,0,0,0,0.0,0,0,0.0,0.0,0,0,50.60231399999999,1297.6212760474818,0,0,,21.97447399450042,95.32905777144211,910.3254458770724,2094.8059009187828,326.75083747741604,314.8566431849795,1.2937720281780247,15.94920744107365,0.06502656696846332,49.623831604272866,2.246140873564645,51.86997247783751,2146.6758733966203,0.9900298727135061,21.618167583114417,4.1,131.2,16.526631409906518,4.005900004463994,81.5747963288752,0,0,20.111910740815176,-30.7769355322472,-58.4150700690046,0.35419800429234966,1.59665375058362,1596.65375058362,376.7144859126993,0,0,4271.1865981664405,0,0,0,-3894.472112253741,100800000.0,110.3353615013475,0.0,False,False,-0.4702024283233186,0.4640415656604091,-0.4702024283233186,0.4640415656604091,0.010544361130936772,0.009688247209323078
1,-12.44067375,130.9112459375,29.17812499999999,10.0,0,999,93.43669667064825,0.9849071428571429,20191011_Bsl_NoWeather_Tgt_-2,10.0,4.4781249999999915,0.0004478124700658217,0.025657764548100096,1,91.8202188358927,2019-10-13 08:36:31.013471,1,1570955791.013471,0:06:31.013471,0:06:31.013471,31,91,30,101250,0,0,0,180,1.225,0.0,6.0,86.56330332935175,0.0,0.0,91.8202188358927,111.56700375638238,2845.5851943821926,1121718,1121718,8433.718154367842,3.7767244110028417,50.60230892620705,1290.6430775571607,506023,506023,0,0.0,0,0,3.7767244110028417,96.32768386142749,18883,0,54.37903333720989,1386.970761418588,524906,524906,18883.0,22.319741989088165,94.81641763309861,905.4300931543916,2116.2779779003904,327.4928271179186,315.2054010638743,1.293353518723351,16.19456474644591,0.06518298487714765,51.28543682629806,2.215282114182403,53.50071894048046,2169.778696840871,0.9900288955113574,21.852988535507837,4.085249924984737,130.72799759951158,16.76482257527187,4.122202714378399,81.92591999118302,31964,31964,-2.436696670648246,4.04737630402802,-58.97711355287977,0.4019686180389924,1.8119941214551172,1811.9941214551172,427.5218930161203,157228,157228,4314.481875791964,1678588,1678588,-1521360,-3886.9599827758434,99278640.0,110.37799641615493,25240.0,False,False,-0.4275675135158963,0.5066764804678314,-0.4275675135158963,0.5066764804678314,0.009588266667283638,0.01057837780315229
2,-12.472121492537315,130.99440552238804,43.86268656716418,20.0,0,999,123.57302614037378,0.9694780456349207,20191011_Bsl_NoWeather_Tgt_-2,10.0,14.684561567164192,0.0014684551012093732,0.08413627970375323,1,90.68168145980071,2019-10-13 08:43:05.529911,1,1570956185.529911,0:06:34.516440,0:06:34.516440,33,91,30,101250,0,0,0,180,1.225,0.0,6.0,56.426973859626216,0.0,0.0,90.68168145980071,108.81737661517097,2741.039634307806,1101921,2223639,8433.709906932861,12.384533236795818,50.60225944159717,1274.6383255080855,506022,1012045,0,0.0,0,0,12.384533236795818,311.9584161131758,80806,0,62.98679267839299,1586.5967416212616,586829,1111735,80806.0,23.107660769984356,93.64072847976117,894.2030887368007,2163.818187964534,329.24003616479087,316.02202037705285,1.2923735755475367,16.753552626404613,0.06554923863910823,55.19538091055274,2.145357913163502,57.340738823716244,2221.15892678825,0.9900262569916354,22.37644523069252,4.070174131410257,130.2455722051282,17.225425279605833,4.351824048928161,82.67899802091746,32427,64391,-32.573026140373784,39.6595273522558,-52.381368943368344,0.38994466231883657,1.757792534306725,1757.7925343067252,414.73357054432876,165924,323152,4410.315373949985,1721177,3399765,-3076613,-3995.581803405656,97723387.0,110.4798389500047,25030.0,False,False,-0.3257249796661199,0.6085190143176078,-0.3257249796661199,0.6085190143176078,0.007304432321231967,0.012704643459885607
3,-12.53598109589041,131.0548416438356,46.54931506849314,30.0,0,999,152.00015453968396,0.9542426587301587,20191011_Bsl_NoWeather_Tgt_-2,10.0,2.686628501328954,0.000268662843668892,0.015393247054210541,1,92.01709225197806,2019-10-13 08:49:39.621226,1,1570956579.621226,0:06:34.091315,0:06:34.091315,35,90,30,101250,0,0,0,180,1.225,0.0,6.0,27.99984546031604,0.0,0.0,92.01709225197806,112.04594237702939,2863.9282822685923,1104316,3327955,8433.718695628248,2.2658269019865704,50.602312173769484,1293.4104520714275,506022,1518067,0,0.0,0,0,2.2658269019865704,57.91522307419775,73251,0,52.868139075756055,1351.3256751456254,579274,1691009,73251.0,22.18094395539964,95.0197152540046,907.3714424315522,2107.6269787071083,327.1927602083261,315.0645023077301,1.293522597230724,16.095960803396114,0.06511979178501695,50.6136980164921,2.227533210598236,52.84123122709034,2160.4682099341985,0.9900290928916242,21.758782632270357,4.055287616681929,129.76920373382174,16.816216249909182,4.147515224801074,81.85702659836821,32413,96804,-62.000154539683955,51.584424321003354,-33.840725334201096,0.4704684544361797,2.1207776814202397,2120.77768142024,500.3762861542914,180276,503428,4297.1109840125855,1716003,5115768,-4612340,-3796.734697858294,96187660.0,110.36031468572219,25060.0,False,False,-0.44524924394863774,0.48899475003508996,-0.44524924394863774,0.48899475003508996,0.009984782167570464,0.010209219115229118
4,-12.620045833333332,131.07305777777776,24.03888888888891,40.0,0,999,169.61124890536544,0.9403751884920635,20191011_Bsl_NoWeather_Tgt_-2,10.0,-22.510426179604227,-0.002251038815816283,-0.12897502366639968,1,94.78791824958392,2019-10-13 08:56:05.049860,1,1570956965.04986,0:06:25.428634,0:06:25.428634,36,90,30,101250,0,0,0,180,1.225,0.0,6.0,10.388751094634557,0.0,0.0,94.78791824958392,118.89541126577177,3130.5134786973986,1154706,4482661,8433.69763244082,-18.984612797616204,50.602185794644924,1332.3544028758502,506022,2024089,0,0.0,0,0,-18.984612797616204,-499.8644238501249,-83593,0,31.61757299702872,832.4899790257252,422428,2113437,-83593.0,20.24399638334667,97.88095647416762,934.6942834455859,1981.501728861562,323.23430748899233,313.075,1.2959100000000001,14.717496915113104,0.0642275,41.73593808399398,2.4053970566485465,44.141335140642525,2025.6430640022045,0.9900335457195867,20.391712051676713,4.045042912728937,129.441373207326,15.80665227320133,3.6644704225932108,80.0069112155667,31158,127962,-79.61124890536544,53.54852246008227,-13.939001540895418,0.5574405715401437,2.512830587668761,2512.830587668761,592.8772488545674,210451,713879,4043.01036893869,1608292,6724060,-6010181,-3450.1331200841228,94789819.0,110.16457072440517,25590.0,False,False,-0.6409932052656586,0.2932507887180691,-0.6409932052656586,0.2932507887180691,0.014374370338534887,0.006122482005219256
5,-12.708653820224722,131.0864979775281,55.517977528089894,50.0,0,999,163.43811722114296,0.9259077777777778,20191011_Bsl_NoWeather_Tgt_-2,10.0,31.479088639200985,0.003147898466092446,0.18036129644280283,1,88.806525756688,2019-10-13 09:02:37.218590,1,1570957357.21859,0:06:32.168730,0:06:32.168730,38,90,30,101250,0,0,0,180,1.225,0.0,6.0,16.56188277885704,0.0,0.0,88.806525756688,104.36355952244749,2574.490315774965,1116294,5598955,8433.677214057294,26.548447257571915,50.602063284343764,1248.2759545562863,506021,2530110,0,0.0,0,0,26.548447257571915,654.9098236610093,37819,0,77.15051054191568,1903.1857782172956,543840,2657277,37819.0,24.41364242365685,91.70438430058653,875.712363878229,2238.8380469961303,332.30501880264256,317.43940738169727,1.2906727111419634,17.677122373299113,0.06618493671069123,62.044537203010506,2.0324271984017654,64.07696440141227,2302.9150113975425,0.9899791355396059,23.310793495100196,4.036561371245421,129.16996387985347,18.009030389265767,4.7567692415686365,84.0182914779656,32148,160110,-73.43811722114296,50.81644604417917,-20.044413600227628,0.5649224910346239,2.546557584087878,2546.5575840878782,600.8347963896939,233967,947846,4561.694385470226,1692282,8416342,-7468496,-3960.859589080532,93331504.0,110.53662413632992,25140.0,False,False,-0.26893979334090545,0.6653042006428223,-0.26893979334090545,0.6653042006428223,0.006031015861781284,0.013890203038289313
6,-12.788211025641026,131.12306820512822,33.784615384615414,60.0,0,999,161.82597548221693,0.9114919841269842,20191011_Bsl_NoWeather_Tgt_-2,10.0,-21.73336214347448,-0.0021733327925187473,-0.12452279648870564,1,94.70270985092104,2019-10-13 09:09:09.569415,1,1570957749.569415,0:06:32.350825,0:06:32.350825,40,89,30,101250,0,0,0,180,1.225,0.0,6.0,18.174024517783067,0.0,0.0,94.70270985092104,118.68174829536864,3122.0786592823165,1115226,6714181,8433.699082197298,-18.32926363624822,50.60219449318379,1331.1569285855164,506021,3036131,0,0.0,0,0,-18.32926363624822,-482.17525997907035,41095,0,32.27293085693557,848.9816686064461,547117,3204394,41095.0,20.303404345984916,97.79296762796473,933.8540518569774,1985.5301639443812,323.34395932581003,313.075,1.2959100000000001,14.760686831288982,0.0642275,41.98125379061317,2.401074397980302,44.38232818859347,2029.9124921329746,0.9900333928638806,20.435008026615154,4.028110079487179,128.89952254358974,15.90655620517312,3.7109384445221947,80.09667521243414,32166,192276,-72.82597548221693,48.708483293555396,-19.38671382266621,0.5930806724073342,2.67348903303315,2673.48903303315,630.7830024538414,241397,1189243,4051.1570031011966,1694509,10110851,-8921608,-3420.3740006473554,91878392.0,110.17019410605371,25130.0,False,False,-0.6353698236171113,0.29887417036661645,-0.6353698236171113,0.29887417036661645,0.0142482651478603,0.006239886814605162
7,-12.873620597014925,131.14065343283582,52.93731343283581,70.0,0,999,180.96365472155378,0.8976078075396825,20191011_Bsl_NoWeather_Tgt_-2,10.0,19.152698048220394,0.001915267462925661,0.10973674226436925,1,90.1767114845892,2019-10-13 09:15:39.012434,1,1570958139.012434,0:06:29.443019,0:06:29.443019,41,89,30,101250,0,0,0,180,1.225,0.0,6.0,-0.9636547215537803,0.0,-0.0,90.1767114845892,107.60883016597114,2695.502897519705,1131452,7845633,8433.703531512167,16.15281771672625,50.602221189073,1267.5394168462228,506022,3542153,0,0.0,0,0,16.15281771672625,404.61332858455114,-10882,0,66.75503890579925,1672.152745430774,495139,3699533,-10882.0,23.451940390153123,93.11928075649443,889.2236297734859,2183.8278214752404,330.02717945465594,316.387838891949,1.2919345933296613,16.99738729268735,0.06571330824303913,56.955927249058796,2.1147968271081328,59.070724076166925,2242.8985455514076,0.9900245612471172,22.599335355775473,4.019782869536022,128.6330518251527,17.61209773664245,4.549394471380677,83.09945856845293,31741,224017,-91.96365472155378,48.98333508244476,2.2573155249343557,0.6580170117935844,2.966209061304825,2966.209061304825,699.8473659242603,258807,1448050,4450.755101518932,1658332,11769183,-10321133,-3750.9077355946715,90478867.0,110.52349042686728,25340.0,False,False,-0.2820735028035415,0.6521704911801862,-0.2820735028035415,0.6521704911801862,0.0063255412985312835,0.013615997808703132
8,-12.95852231884058,131.1202034782609,90.47681159420294,80.0,0,999,188.47691197065288,0.8823135515873016,20191011_Bsl_NoWeather_Tgt_-2,10.0,37.539498161367135,0.0037539321825579963,0.21508447063890684,1,88.13508863401138,2019-10-13 09:22:22.799508,1,1570958542.799508,0:06:43.787074,0:06:43.787074,43,88,30,101250,0,0,0,180,1.225,0.0,6.0,-8.476911970652878,0.0,-0.0,88.13508863401138,102.7914077949109,2516.5360657831334,1052001,8897634,8433.659576056903,31.65953481489844,50.601957456341424,1238.835557074757,506020,4048173,0,0.0,0,0,31.65953481489844,775.0877519507342,239061,0,82.26149227123986,2013.923309025491,745082,4444615,239061.0,24.889615058897277,91.01103741636864,869.0913888441905,2265.2296874043122,333.47567609430376,317.9758680740628,1.2900289583111246,18.012769869015912,0.06642553933121718,64.65726723304212,1.9925703368562715,66.6498375698984,2331.8795249742107,0.9899447636262855,23.68576579237536,3.9540258322039086,126.52882663052507,18.616827117547185,5.083265028228057,84.71975956190019,33815,257832,-100.47691197065288,46.519277725903734,11.034141194618797,0.6916096213601846,3.1176378254605175,3117.6378254605174,735.5754685391545,289237,1737287,4615.1791343705245,1830898,13600081,-11862794,-3879.60366583137,88937206.0,110.65430153709713,24470.0,False,False,-0.1512623925736989,0.7829816014100288,-0.1512623925736989,0.7829816014100288,0.003392082211302164,0.016347068616614707
9,-13.04490891304348,131.11512478260872,62.13478260869565,90.0,0,999,184.33163603466693,0.8683962202380953,20191011_Bsl_NoWeather_Tgt_-2,10.0,-28.34202898550729,-0.0028341953098143615,-0.1623874295681357,1,95.40911590823731,2019-10-13 09:28:55.075582,1,1570958935.075582,0:06:32.276074,0:06:32.276074,44,88,30,101250,0,0,0,180,1.225,0.0,6.0,-4.3316360346669285,0.0,-0.0,95.40911590823731,120.45889250186237,3192.465676913357,1116251,10013885,8433.685127411163,-23.902774833572895,50.60211076446698,1341.0840697579147,506020,4554193,0,0.0,0,0,-23.902774833572895,-633.4840596180151,38783,0,26.699335930894083,707.6000101398996,544804,4989419,38783.0,19.792781724205746,98.52242452316946,940.8198520956355,1950.0328435266285,322.41161110267564,313.075,1.2959100000000001,14.389461371724881,0.0642275,39.896183053648514,2.4370281610232216,42.333211214671735,1992.3660547413003,0.9900185967155329,20.087106594392353,3.8941914181623942,124.61412538119662,16.149478682128258,3.825149704999554,79.86298504068868,32258,290090,-96.33163603466693,45.82480802851893,6.515039156483212,0.7016891460734621,3.1630743065883773,3163.074306588377,746.2957518964616,290446,2027733,3979.9286720939454,1693313,15293394,-13265661,-3233.6329201974836,87534339.0,110.14052690635708,25140.0,False,False,-0.6650370233137437,0.269206970669984,-0.6650370233137437,0.269206970669984,0.014913556623407103,0.005620495824790966
