,latitude,longitude,elevation,distance,speedMin,speedMax,heading,car__rSOC,simName,d_distance,d_elevation,inclination_angle,inclination_angle_deg,stintNumber,speed,time,day,time_unix,d_time,d_timeDriving,solar__sunElevationAngle,solar__sunAzimuthAngle,weather__airTemp,weather__airPressure,weather__humidity,weather__windSpeed,weather__windDirection,weather__windHeading,weather__airDensity,weather__cloudCover,weather__dewPoint,weather__d_query_norm,weather__t_query_norm,weather__windGust,weather__precipProbability,weather__precipIntensity,weather__airDensity_dry,weather__airDensity_wet,aero__headingDeltaCarWind,aero__vTailwind,aero__vCrossWind,aero__airSpeedForward,aero__dragForce,aero__dragPower,aero__d_dragEnergy,aero__dragEnergy,car__ForceNormal,car__ForceLongitudinal,mech__tyreRollingResistanceForce,mech__tyreRollingResistancePower,mech__d_tyreRollingResistanceEnergy,mech__tyreRollingResistanceEnergy,mech__chassisRollingResistanceForce,mech__chassisRollingResistancePower,mech__d_chassisRollingResistanceEnergy,mech__chassisRollingResistanceEnergy,mech__gravityResistanceForce,mech__gravityRollingResistancePower,mech__d_gravityRollingResistanceEnergy,mech__gravityRollingResistanceEnergy,mech__totalResistiveForce,mech__totalResistivePower,mech__d_totalResistiveEnergy,mech__totalResistiveEnergy,mech__gravitysRollingResistanceEnergy,elec__motorTorque,elec__motorSpeed,elec__motorSpeedRPM,elec__motorPowerTractive,elec__motorTempWinding,elec__motorTempMagnet,elec__motorMagnetRemanence,elec__motorCurrentPerPhase,elec__motorResistanceWinding,elec__motorPowerWinding,elec__motorPowerEddyCurrent,elec__motorPowerLossTotal,elec__motorPowerTotal,elec__efficiencyMotorController,elec__motorControllerPowerLoss,elec__batteryCellVoltage,elec__batteryPackVoltage,elec__batteryPackCurrent,elec__batteryPackPowerLoss,elec__totalLossesPower,elec__d_totalLossesEnergy,elec__totalLossesEnergy,solar__sunAzimuthRelativeCar,solar__rotationX,solar__rotationY,solar__projectedAreaRatio,solar__projectedArea,solar__powerIncidentOnArray,solar__powerCapturedArray,solar__d_energyCapturedArray,solar__energyCapturedArray,car__powerUsed,car__d_energyUsed,car__energyUsed,car__SOC_Delta,car__powerDelta,car__SOC,sens__powerPerKph,sens__energyPerKph,onSpeedMin,onSpeedMax,sens_powerPerKphDeltaToMax,sens_powerPerKphDeltaToMin,sens_powerPerKphDeltaToMax_gated,sens_powerPerKphDeltaToMin_gated,sens_powerPerKph_weightAdd,sens_powerPerKph_weightSubtract
0,-12.46322,130.84618,24.7,0.0,0,999,70.88808925918482,1.0,20191012_Bsl_Mongo_Tgt_0,0.0,0.0,0.0,0.0,1,92.45951220808496,2019-10-13 10:30:00.000000,1,1570962600.0,0,0,59,83,31.945,101271.5,0.6399999999999999,6.228,-37.5,142.5,1.1565021841949727,0.12,24.3,0.0,0.00390625,10.584,0.0,0.0,1.1563641022158544,0.00013808197911839419,71.61191074081518,1.9646336623188423,5.910008339493579,90.49487854576611,102.30986096336262,2627.6443996526395,0,0,8433.719,0.0,50.60231399999999,1299.6292414000968,0,0,0,0.0,0,0,0.0,0.0,0,0,50.60231399999999,1299.6292414000968,0,0,,20.566687532572274,95.47657187947641,911.7341018452395,1963.636820526368,325.8219957636393,315.3971320707117,1.293123441515146,14.919944092867132,0.0648328099837142,43.29627082201291,2.257566021150408,45.55383684316332,2009.1906573695312,0.9897597090464118,20.787567653686168,4.1,131.2,15.472395007798914,3.511126773401291,82.41259774648793,0,0,12.111910740815176,-7.185578648044,-30.433607281572463,0.7888729000841312,3.5560812296770776,3551.4725484034166,837.934433070302,0,0,4009.686238799224,0,0,0,-3171.751805728922,100800000.0,102.51460287486225,0.0,False,False,-0.24435898177671334,0.67979470642058,-0.24435898177671334,0.67979470642058,0.00902685379717408,0.010552379381237507
1,-12.44067375,130.9112459375,29.17812499999999,10.0,0,999,93.43669667064825,0.9877026587301587,20191012_Bsl_Mongo_Tgt_0,10.0,4.4781249999999915,0.0004478124700658217,0.025657764548100096,1,93.32064392462273,2019-10-13 10:36:27.554847,1,1570962987.554847,0:06:27.554847,0:06:27.554847,60,83,32.264142028017176,101267.68018491613,0.6231591226584381,6.09000941860199,-37.57332546015581,142.4266745398442,1.155244077042783,0.10607644339468744,23.996521019058758,0.003300697140242991,0.004747221402099563,10.779276293597222,0.0,0.0,1.1551121905523218,0.00013188649046120453,48.98997786919597,3.9962095661016765,4.59548950847006,89.32443435852105,99.5720237856581,2581.1459379320736,1009409,1009409,8433.718154367842,3.7767244110028417,50.60230892620705,1311.7333480739796,506023,506023,0,0.0,0,0,3.7767244110028417,97.90176498906298,18883,0,54.37903333720989,1409.6351130630426,524906,524906,18883.0,20.70641718302575,96.36580330919324,920.2256365007659,1995.3905254975584,326.4502314604876,315.8562853953684,1.292572457525558,15.014909489640113,0.06496717265003987,43.9400613288785,2.2931022589686614,46.23316358784716,2041.6236890854057,0.9899392258347729,20.74906653885288,4.087984117521367,130.81549176068376,15.765508563750238,3.645418484014004,82.50838834226737,31912,31912,-10.436696670648248,5.970656268468957,-29.587840346986,0.8001065606468709,3.6067203243442436,3603.4916028828693,850.2078087841842,326655,326655,4073.289439337383,1566227,1566227,-1239572,-3223.081630553199,99560428.0,102.51098710617498,23180.0,False,False,-0.24797475046398176,0.6761789377333116,-0.24797475046398176,0.6761789377333116,0.009160423740325163,0.010496252196688281
2,-12.472121492537315,130.99440552238804,43.86268656716418,20.0,0,999,123.57302614037378,0.9751612797619048,20191012_Bsl_Mongo_Tgt_0,10.0,14.684561567164192,0.0014684551012093732,0.08413627970375323,1,92.42833856636756,2019-10-13 10:42:55.174736,1,1570963375.174736,0:06:27.619889,0:06:27.619889,62,82,33.45083373527726,101258.49055878421,0.5170097802778085,5.292773893153668,-20.779800478617354,159.22019952138265,1.1506337268398683,0.052846906175216035,22.032156484444936,0.006601394280485982,0.00558835455061247,11.52438539453745,0.0,0.0,1.1505369385339754,9.67883058929239e-05,35.64717338100887,4.3010203027122165,3.0845874666973447,88.12731826365534,96.5342091764373,2478.471269165637,980531,1989940,8433.709906932861,12.384533236795818,50.60225944159717,1299.1896577475313,506022,1012045,0,0.0,0,0,12.384533236795818,317.9671752769433,80806,0,62.98679267839299,1617.1568330244747,586829,1111735,80806.0,21.455574749474675,95.44438100616229,911.4267016486162,2047.814051095056,329.193938002254,317.7508961099104,1.2902989246681076,15.530782920362075,0.0655507899401589,47.433577756247026,2.2215964568887387,49.655174213135766,2097.4692253081917,0.9899656654624978,21.260038224684454,4.0757298871337,130.4233563882784,16.245014100275785,3.870540419066333,83.24448196315126,32073,63985,-41.573026140373784,19.434299028064117,-21.691547072589657,0.8297632191758728,3.7404066085589496,3739.9925719134676,882.4138474172636,335262,661917,4178.872584153262,1599433,3165660,-2503743,-3296.4587367359986,98296257.0,102.50565175083466,22830.0,False,False,-0.253310105804303,0.6708435823929904,-0.253310105804303,0.6708435823929904,0.009357516854164784,0.010413432055323501
3,-12.53598109589041,131.0548416438356,46.54931506849314,30.0,0,999,152.00015453968396,0.9629042658730159,20191012_Bsl_Mongo_Tgt_0,10.0,2.686628501328954,0.000268662843668892,0.015393247054210541,1,95.367575978499,2019-10-13 10:49:18.569658,1,1570963758.569658,0:06:23.394922,0:06:23.394922,64,81,34.40519847964181,101245.681366308,0.43851157510545513,6.597659884462357,-16.555540746317966,163.44445925368203,1.1468955806818313,0.06534592033227285,20.374592033227284,0.009902091420728973,0.006420333246803946,13.653734340190887,0.0,0.0,1.1468216527725734,7.39279092577961e-05,11.444304713998065,6.466485477402343,1.3090765911849562,88.90109050109666,97.91767434387373,2593.93645767425,972259,2962199,8433.718695628248,2.2658269019865704,50.602312173769484,1340.5055141443574,506022,1518067,0,0.0,0,0,2.2658269019865704,60.024005341480915,73251,0,52.868139075756055,1400.5295194858381,579274,1691009,73251.0,20.28069190494021,98.47952909799567,940.4102309584891,1997.2329885800445,327.84193431250276,317.5974293659376,1.290483084760875,14.682430206170975,0.06526794381156334,42.210167530198135,2.3760650694962386,44.58623259969437,2041.8192211797389,0.9900765494971991,20.46497514493656,4.0637534692460315,130.040111015873,15.858831403742405,3.688703824554119,82.26758228889116,31695,95680,-71.00015453968396,24.75729245597249,-9.022608381229674,0.8777584719775299,3.95675960735429,3955.931557727483,933.3624917302222,347721,1009638,4076.7335594489796,1583228,4748888,-3739250,-3143.3710677187573,97060750.0,102.50489691263283,22750.0,False,False,-0.25406494400613155,0.6700887441911618,-0.25406494400613155,0.6700887441911618,0.009385401297121967,0.010401714783915068
4,-12.620045833333332,131.07305777777776,24.03888888888891,40.0,0,999,169.61124890536544,0.9519055357142857,20191012_Bsl_Mongo_Tgt_0,10.0,-22.510426179604227,-0.002251038815816283,-0.12897502366639968,1,100.14172808949593,2019-10-13 10:55:26.838577,1,1570964126.838577,0:06:08.268919,0:06:08.268919,65,80,35.11645064441363,101223.4516451862,0.39290329037242466,8.828810927333832,-15.204914596345692,164.7950854036543,1.1439851935587433,0.11227705124219259,19.025390422354803,0.013202788560971963,0.007219517905679014,15.816156931686402,0.0,0.0,1.1439244144778058,6.077908093740507e-05,-4.816163501711145,8.797638281330011,-0.7412577564424035,91.34408980816592,103.11084428556147,2868.2494809786253,1005142,3967341,8433.69763244082,-18.984612797616204,50.602185794644924,1407.6084251615239,506022,2024089,0,0.0,0,0,-18.984612797616204,-528.097759073124,-83593,0,31.61757299702872,879.5106660883998,422428,2113437,-83593.0,18.12097212450838,103.4094672547459,987.487672565538,1873.8800735335128,324.68026018392817,316.44620138068467,1.2918645583431785,13.132921165861536,0.06459211976222733,33.42130983661833,2.6529968436334963,36.07430668025182,1909.9543802137646,0.9900622994601189,19.17107103840687,4.053006268696581,129.6962005982906,14.874186308874782,3.244874135816397,80.52984849362375,29954,125634,-89.61124890536544,24.999494856566344,-0.1812756168054932,0.9060030915714427,4.084080702509885,4079.745308501414,962.5751080878235,348852,1358490,3828.289995560649,1457524,6206412,-4847922,-2865.7148874728255,95952078.0,102.4911855610344,23120.0,False,False,-0.2677762956045626,0.6563773925927308,-0.2677762956045626,0.6563773925927308,0.009891911699730305,0.010188874962525424
5,-12.708653820224722,131.0864979775281,55.517977528089894,50.0,0,999,163.43811722114296,0.9403100892857142,20191012_Bsl_Mongo_Tgt_0,10.0,31.479088639200985,0.003147898466092446,0.18036129644280283,1,95.06082944627197,2019-10-13 11:01:35.686203,1,1570964495.686203,0:06:08.847626,0:06:08.847626,67,79,35.35178184322516,101214.29141127746,0.3565478771183226,11.168628643817902,-15.35429436127345,164.64570563872655,1.1429990053734052,0.15973445208602483,17.67527638688352,0.016503485701214952,0.008019959307793114,18.11059074564934,0.0,0.0,1.1429483658669624,5.063950644278159e-05,1.2075884175835938,11.16614810292199,0.2353769893624387,83.89468134334997,86.90359533285618,2294.757737279022,950072,4917413,8433.677214057294,26.548447257571915,50.602063284343764,1336.1872520840177,506021,2530110,0,0.0,0,0,26.548447257571915,701.032615782053,37819,0,77.15051054191568,2037.2198678660707,543840,2657277,37819.0,22.065277240156817,98.16277307545639,937.3854337540139,2165.9888025725463,332.51842143271324,320.27383646351484,1.2872713962437823,15.934644135449423,0.06625604107554316,50.46978736076413,2.3140359128360597,52.78382327360019,2218.7726258461466,0.9902380153026611,21.87314977375839,4.045005719871795,129.44018303589743,17.31027972201268,4.394804832796742,84.3818579259556,30343,155977,-84.43811722114296,22.902911919410784,-2.355844560418447,0.9140033984351588,4.120144485492776,4107.550317015207,969.1354217965679,355434,1713924,4416.359463071049,1524255,7730667,-6016743,-3447.2240412744804,94783257.0,102.50493360412293,22460.0,False,False,-0.25402825251603645,0.6701254356812569,-0.25402825251603645,0.6701254356812569,0.009384045878490408,0.010402284341929996
6,-12.788211025641026,131.12306820512822,33.784615384615414,60.0,0,999,161.82597548221693,0.9288153373015873,20191012_Bsl_Mongo_Tgt_0,10.0,-21.73336214347448,-0.0021733327925187473,-0.12452279648870564,1,102.9045423418265,2019-10-13 11:07:39.386174,1,1570964859.386174,0:06:03.699971,0:06:03.699971,68,78,35.66771980808973,101198.9864255321,0.32213823112249373,12.873837627024653,-20.25161910712719,159.7483808928728,1.141648027434257,0.17872415936589242,16.19642712558508,0.019804182841457945,0.008809250495396555,19.70216341425419,0.0,0.0,1.141606412534438,4.1614899818994135e-05,-2.0775945893441303,12.865374969000591,-0.46671421020658566,90.03916737282591,99.98116784128139,2857.921199863445,934423,5851836,8433.699082197298,-18.32926363624822,50.60219449318379,1446.4432405036587,506021,3036131,0,0.0,0,0,-18.32926363624822,-523.9345794307794,41095,0,32.27293085693557,922.5086610728791,547117,3204394,41095.0,17.78817627491018,106.2624352972186,1014.7315105521023,1890.2149304681623,324.7393779887258,316.75185098335567,1.2914977788199733,12.888071873198907,0.0646055814990709,32.193425763891,2.799229578166271,34.99265534205727,1925.2075858102196,0.9901670974964644,19.118367534330908,4.038266724221612,129.22453517509157,15.04610522073153,3.320317473928761,80.55258832766016,29935,185912,-83.82597548221693,21.884479751100116,-2.4880780326924707,0.9203716953582792,4.148851494126111,4131.087568661939,974.6888009500979,352804,2066728,3860.982449263984,1511475,9242142,-7175414,-2886.2936483138865,93624586.0,102.4808769185529,22260.0,False,False,-0.27808493808606727,0.6460687501112261,-0.27808493808606727,0.6460687501112261,0.010272722782880545,0.010028855025119384
7,-12.873620597014925,131.14065343283582,52.93731343283581,70.0,0,999,180.96365472155378,0.917740505952381,20191012_Bsl_Mongo_Tgt_0,10.0,19.152698048220394,0.001915267462925661,0.10973674226436925,1,97.51422446108016,2019-10-13 11:13:38.633969,1,1570965218.633969,0:05:59.247795,0:05:59.247795,70,76,35.73612759812342,101189.12517180343,0.29816689573791294,13.898177408816814,-26.14158649173048,153.8584135082695,1.1412779208239123,0.2145475863231553,14.950201340712441,0.023104879981700934,0.009588900907482538,20.638616319389342,0.0,0.0,1.1412423671927008,3.555363121144059e-05,-27.105241213284273,12.371756278737017,-6.332375688987288,85.14246818234315,89.37312035487872,2420.8751441868826,946771,6798607,8433.703531512167,16.15281771672625,50.602221189073,1370.6767653501365,506022,3542153,0,0.0,0,0,16.15281771672625,437.5359701410433,-10882,0,66.75503890579925,1808.21273549118,495139,3699533,-10882.0,20.99923742056119,100.69622517666271,961.578119253626,2114.5439398390313,330.7067962779201,319.6246142733968,1.2880504628719238,15.17397146600582,0.0658786753877393,45.50557842893631,2.4519351530344107,47.95751358197072,2162.501453421002,0.9902784262244325,21.229299621679935,4.031773866666667,129.01676373333333,16.925945821709398,4.2018187487384795,83.5450216898189,29455,215367,-104.96365472155378,19.373098725721107,5.36885356529892,0.950229985610831,4.283446693816741,4251.719948003482,1003.1508045319416,355022,2421750,4312.6329013678815,1471365,10713507,-8291757,-3309.48209683594,92508243.0,102.49352243390604,22390.0,False,False,-0.26543942273292487,0.6587142654643685,-0.26543942273292487,0.6587142654643685,0.009805585387509329,0.010225149986255878
8,-12.95852231884058,131.1202034782609,90.47681159420294,80.0,0,999,188.47691197065288,0.9051089186507937,20191012_Bsl_Mongo_Tgt_0,10.0,37.539498161367135,0.0037539321825579963,0.21508447063890684,1,94.40291935387688,2019-10-13 11:19:53.795867,1,1570965593.795867,0:06:15.161898,0:06:15.161898,71,75,35.77638967751861,101180.52518621882,0.2735775097330411,14.77520964961052,-31.91628237724304,148.08371762275695,1.1410268400189876,0.2798953529715538,13.755402623947463,0.026405577121943927,0.010403040751504401,21.51500283906698,0.0,0.0,1.1409966495058743,3.0190513113260235e-05,-40.39319434789593,11.253025530655064,-9.574770837799155,83.14989382322182,85.22014963720486,2234.730809312881,872966,7671573,8433.659576056903,31.65953481489844,50.601957456341424,1326.9368080275856,506020,4048173,0,0.0,0,0,31.65953481489844,830.2090310866986,239061,0,82.26149227123986,2157.145839114284,745082,4444615,239061.0,22.526280836685814,97.48339462399512,930.8978474272033,2195.9383242135823,333.9611216776665,321.1599822302314,1.2862080213237224,16.25412402063498,0.06655825914507522,52.75338685679618,2.2680021545178777,55.021389011314064,2250.9597132248964,0.9902370686621909,22.19263024972283,4.024368533882784,128.7797930842491,17.65146758690239,4.569756516914829,84.87629008603813,31578,246945,-113.47691197065288,17.52738843197379,7.810691063144489,0.9598838583860408,4.326964421154,4255.805123695656,1004.114660884753,376362,2798112,4476.752938513204,1649626,12363133,-9565021,-3472.638277628451,91234979.0,102.50497313445521,21570.0,False,False,-0.2539887221837489,0.6701649660135445,-0.2539887221837489,0.6701649660135445,0.009382585590321261,0.01040289796698389
9,-13.04490891304348,131.11512478260872,62.13478260869565,90.0,0,999,184.33163603466693,0.8937014781746032,20191012_Bsl_Mongo_Tgt_0,10.0,-28.34202898550729,-0.0028341953098143615,-0.1623874295681357,1,103.00588074846311,2019-10-13 11:25:58.521249,1,1570965958.521249,0:06:04.725382,0:06:04.725382,72,73,36.13046555858188,101165.81214140124,0.24939174124929642,15.34231233420372,-36.21289056274626,143.78710943725375,1.1395499170898042,0.3203041293753518,12.454953771750132,0.029706274262186916,0.011194657296356228,22.11050604925156,0.0,0.0,1.1395246670189099,2.5250070894285502e-05,-40.54452659741318,11.658638895453294,-9.973098157828549,91.34724185300982,102.71816810950605,2939.048715274547,939691,8611264,8433.685127411163,-23.902774833572895,50.60211076446698,1447.8652741736687,506020,4554193,0,0.0,0,0,-23.902774833572895,-683.9239927956597,38783,0,26.699335930894083,763.9412813780091,544804,4989419,38783.0,17.406654293433817,106.36708049201064,1015.7307985534204,1851.4949983262775,324.5716395762056,316.9031174042512,1.2913162591148986,12.609875091011721,0.06456965375429467,30.801458499374956,2.8055173635343045,33.60697586290926,1885.1019741891866,0.9901254154972788,18.800243331829318,4.002992515873018,128.09576050793657,14.86311654633608,3.2400460908928843,80.15419274212269,30035,276980,-111.33163603466693,16.838944201403805,6.740779024395309,0.9635222369457663,4.3433655038902925,4236.318318186885,999.5169439930137,364660,3162772,3783.1441893946785,1514530,13877663,-10714891,-2783.627245401665,90085109.0,102.41199572369169,22270.0,False,False,-0.34696613294727285,0.5771875552500205,-0.34696613294727285,0.5771875552500205,0.012817259803234159,0.008959619719896677
