latitude,longitude,elevation,distance
-12.46322,130.84618,24.7,0.0
-12.44067375,130.9112459375,29.178124999999987,10.0
-12.472121492537314,130.99440552238804,43.86268656716418,20.0
-12.53598109589041,131.0548416438356,46.549315068493144,30.0
-12.620045833333332,131.07305777777776,24.038888888888906,40.0
-12.70865382022472,131.0864979775281,55.51797752808989,50.0
-12.788211025641026,131.12306820512822,33.784615384615414,60.0
-12.873620597014925,131.14065343283582,52.93731343283581,70.0
-12.95852231884058,131.1202034782609,90.47681159420294,80.0
-13.044908913043479,131.11512478260872,62.13478260869565,90.0
-13.131405864864865,131.10710829729732,72.29459459459457,100.0
-13.220032647058822,131.0995394117647,56.03529411764706,110.0
-13.277323333333333,131.16236333333333,53.13333333333326,120.0
-13.341940000000001,131.2119088888889,67.26666666666657,130.0
-13.398751166666667,131.27360270833336,83.05000000000024,140.0
-13.467590869565218,131.3296107246377,101.18405797101438,150.0
-13.521646555555554,131.39771444444443,114.38888888888896,160.0
-13.581876666666666,131.46078333333335,129.86666666666648,170.0
-13.606603333333334,131.52687846153844,174.37179487179466,180.0
-13.623298882978723,131.60603515957447,222.4734042553193,190.0
-13.665600795698925,131.6854386451613,196.7129032258064,200.0
-13.739552999999999,131.72983611392405,209.3126582278481,210.0
-13.793223595744681,131.8011810425532,224.4914893617021,220.0
-13.857936105263157,131.83935582105264,187.94526315789483,230.0
-13.93273681443299,131.8840638969072,152.81443298969074,240.0
-14.0087575625,131.93209222916667,136.41666666666674,250.0
-14.07944170212766,131.98626659574467,125.87021276595745,260.0
-14.162406056338028,132.01355788732394,124.25633802816898,270.0
-14.240684591836736,132.04804440816326,147.2040816326519,280.0
-14.310956464646464,132.10073654545457,192.05959595959553,290.0
-14.375188530612245,132.16097814285715,145.54387755102042,300.0
-14.432678095238096,132.22206015873016,119.63968253968251,310.0
-14.47599088764045,132.30053349438202,111.43595505617931,320.0
-14.481617525252526,132.387835010101,142.0,330.0
-14.547706119402985,132.44165194029853,160.07164179104475,340.0
-14.584884,132.524969,197.5,350.0
-14.628294639175259,132.60559155670103,184.89381443298984,360.0
-14.677319850746269,132.67666925373135,194.24029850746274,370.0
-14.704749838709677,132.76509653225807,169.75322580645172,380.0
-14.749239696969696,132.8402693939394,161.48484848484887,390.0
-14.794429125,132.91698440625,162.990625,400.0
-14.852923,132.984294,144.6,410.0
-14.911210139784947,133.05412333333334,136.5881720430108,420.0
-14.993372356321839,133.08147086206895,151.716091954023,430.0
-15.080497446808511,133.0729589361702,150.00212765957443,440.0
-15.167363101010102,133.09160108080806,166.97878787878787,450.0
-15.253544226804124,133.11733724742268,170.77216494845362,460.0
-15.336025,133.15315,176.95,470.0
-15.421700588235295,133.18111411764704,181.0,480.0
-15.509786603773586,133.19940188679246,197.94339622641516,490.0
-15.595065806451613,133.22651806451614,185.85161290322594,500.0
-15.662118290322582,133.28789151612904,181.03548387096777,510.0
-15.724124376623378,133.35146684415582,186.09350649350665,520.0
-15.804729578947368,133.380028,183.7242105263158,530.0
-15.887885652173914,133.41332652173912,187.84347826086955,540.0
-15.972377894736843,133.43400210526315,193.02105263157904,550.0
-16.053225256410258,133.421385,197.91025641025647,560.0
-16.139374040816328,133.4281501632653,203.73265306122462,570.0
-16.228141663157896,133.4214748,207.10631578947354,580.0
-16.306713541666667,133.38494166666666,219.535416666667,590.0
-16.396097242105263,133.3789062526316,245.23578947368432,600.0
-16.483881530612244,133.38667804081632,274.2959183673469,610.0
-16.567341428571428,133.35379285714285,280.8285714285714,620.0
-16.64919439130435,133.38771047826089,247.98695652173907,630.0
-16.730262789473684,133.42199521052632,230.88421052631583,640.0
-16.819284060606062,133.42853934343432,246.2121212121214,650.0
-16.90898261111111,133.4233991888889,250.66777777777864,660.0
-16.997781701030927,133.43549262886597,243.27731958762882,670.0
-17.08642430612245,133.4507191632653,235.85102040816335,680.0
-17.17502972,133.46613116,224.05799999999996,690.0
-17.261351285714287,133.45380420408165,207.18163265306106,700.0
-17.349997857142856,133.43908,238.7571428571435,710.0
-17.432594714285713,133.46950418367345,244.35612244897962,720.0
-17.51103074489796,133.5154194897959,226.08265306122456,730.0
-17.57594493670886,133.57726025316455,219.55443037974686,740.0
-17.65568153,133.61749120000002,253.24499999999995,750.0
-17.743021686046514,133.63912720930233,261.29883720930223,760.0
-17.823183876404496,133.67708993258427,237.52359550561806,770.0
-17.907757,133.7081665,271.45000000000005,780.0
-17.996523836734696,133.71100369387756,274.6102040816329,790.0
-18.08583089,133.71921358,275.7659999999999,800.0
-18.174985588235295,133.72371997058823,299.39705882352933,810.0
-18.25390214772727,133.7616759090909,265.5329545454548,820.0
-18.333631255319148,133.80500122340425,260.85319148936145,830.0
-18.41025283333333,133.84893633333334,313.45000000000056,840.0
-18.494563749999998,133.87173124999998,324.3499999999999,850.0
-18.57194356321839,133.91843218390804,306.5206896551719,860.0
-18.653440348314607,133.95799576404494,304.5831460674154,870.0
-18.734537586206898,133.99876137931034,309.18965517241367,880.0
-18.81251963414634,134.0419893902439,301.42439024390285,890.0
-18.891891894736844,134.08630621052632,292.57368421052655,900.0
-18.962762924528302,134.13438226415096,326.9,910.0
-19.046052696629214,134.1530991011236,308.2460674157296,920.0
-19.12952121212121,134.16782060606062,300.5424242424239,930.0
-19.21876238947368,134.17244936842104,309.52526315789487,940.0
-19.30723125,134.186425,298.78749999999957,950.0
-19.39606258064516,134.20060441935485,318.73548387096776,960.0
-19.484814272727274,134.215302979798,336.6929292929291,970.0
-19.569584,134.213838,348.62000000000023,980.0
-19.651728571428574,134.18911454545454,364.21558441558403,990.0
-19.73728014925373,134.19212701492538,345.1865671641791,1000.0
-19.826768,134.200417,330.7,1010.0
-19.91623183,134.20902196999998,352.031,1020.0
-20.005566106666667,134.21838357333334,356.2373333333325,1030.0
-20.091348157894735,134.2161087368421,377.49368421052645,1040.0
-20.180599464285713,134.22109,379.48214285714283,1050.0
-20.270113917525773,134.22708009278352,357.86597938144365,1060.0
-20.359356833333333,134.23789316666668,359.0,1070.0
-20.448560344827587,134.24916142528735,365.0,1080.0
-20.531398285714285,134.2748017142857,398.74571428571437,1090.0
-20.604027959183675,134.2301848979592,374.02040816326576,1100.0
-20.688712363636363,134.23314709090909,359.7272727272726,1110.0
-20.777138835051545,134.24005604123712,359.9938144329905,1120.0
-20.86580347826087,134.23472304347825,369.3,1130.0
-20.952690282828282,134.2103028888889,381.92323232323224,1140.0
-21.0395326,134.1857168,395.24,1150.0
-21.126382484210527,134.16109808421052,413.36631578947356,1160.0
-21.2132159375,134.13641906249998,426.6562500000002,1170.0
-21.281230393939392,134.07563003030302,440.0,1180.0
-21.345770727272726,134.00866472727273,452.75454545454545,1190.0
-21.412290819672133,133.94385836065572,495.10491803278677,1200.0
-21.496348823529413,133.90992862745097,499.61960784313766,1210.0
-21.550619,133.84147554545456,540.4599999999997,1220.0
-21.6003379375,133.762822625,510.20625000000007,1230.0
-21.67980311827957,133.75256311827957,493.4645161290321,1240.0
-21.746204199999998,133.7067359,477.638,1250.0
-21.819632727272726,133.65822064646466,486.98989898989925,1260.0
-21.885951847826085,133.5931191304348,502.3826086956521,1270.0
-21.94359503,133.51885723,513.7659999999998,1280.0
-22.014535430107525,133.46317134408602,528.431182795699,1290.0
-22.095366666666667,133.42384333333334,545.2933333333327,1300.0
-22.178903727272726,133.43022096969696,564.7636363636359,1310.0
-22.268475846938774,133.42286145918368,580.7734693877547,1320.0
-22.35308836842105,133.390701,597.8315789473686,1330.0
-22.437320906249997,133.35695607291666,613.5791666666667,1340.0
-22.52316947368421,133.3304029894737,641.4494736842105,1350.0
-22.610638,133.34489890909092,651.0590909090909,1360.0
-22.69563162886598,133.37320003092785,666.7216494845355,1370.0
-22.779207,133.408909,646.2,1380.0
-22.85421908,133.46015008,662.6569999999999,1390.0
-22.924669,133.5206433939394,639.4848484848484,1400.0
-22.99463789361702,133.58163689361703,650.1223404255319,1410.0
-23.065086649999998,133.64221164999998,672.1800000000001,1420.0
-23.135691814432988,133.70258087628866,693.7051546391768,1430.0
-23.207603214285715,133.7597910714286,705.0,1440.0
-23.294097183098593,133.78494846478873,704.0,1450.0
-23.380168288659796,133.81295523711339,719.0,1460.0
-23.466233387755103,133.84101007142857,722.0,1470.0
-23.552594902439022,133.86754073170732,716.1414634146363,1480.0
-23.636510684931505,133.8642082191781,649.4602739726049,1490.0
-23.716465555555555,133.8697222222222,571.0555555555557,1500.0
-23.794818,133.86723672727274,548.8763636363634,1510.0
-23.86233157894737,133.80338389473684,557.5578947368431,1520.0
-23.9315635,133.74089675000002,602.3099999999997,1530.0
-23.99452754716981,133.6709383018868,594.622641509434,1540.0
-24.064637534246575,133.61039121917807,603.3164383561641,1550.0
-24.127402370786516,133.54063223595506,575.878651685393,1560.0
-24.199657380434783,133.48471959782609,562.4032608695652,1570.0
-24.27234379310345,133.43222586206895,507.24482758620667,1580.0
-24.342850025,133.4530340375,482.03875,1590.0
-24.4078508,133.38728708,475.7319999999993,1600.0
-24.466297454545455,133.31473045454544,437.97272727272576,1610.0
-24.526599036144578,133.24804987951808,427.4409638554218,1620.0
-24.608271666666667,133.22025541666667,435.0916666666665,1630.0
-24.69155903614458,133.19111518072287,436.684337349398,1640.0
-24.77541,133.178956,413.94,1650.0
-24.863533548387096,133.19405022580645,422.89032258064367,1660.0
-24.95276634782609,133.1947574347826,410.17173913043575,1670.0
-25.042303214285713,133.2026780952381,446.44523809523616,1680.0
-25.13077709090909,133.19474418181818,455.3254545454539,1690.0
-25.219565056179775,133.20494943820225,412.43033707865123,1700.0
-25.307863610000002,133.20154384,402.2970000000001,1710.0
-25.396523584905662,133.1938966037736,425.0,1720.0
-25.48254355319149,133.22183514893618,459.2872340425535,1730.0
-25.57036111111111,133.20922172839508,459.6123456790121,1740.0
-25.65742,133.22651,488.6,1750.0
-25.735477500000002,133.275855,499.75,1760.0
-25.821099444444446,133.29005722222223,521.116666666666,1770.0
-25.89787852112676,133.25804485915492,508.3535211267605,1780.0
-25.976826343434343,133.21210442424243,531.1494949494953,1790.0
-26.062021153846153,133.19345326923076,510.95192307692304,1800.0
-26.15123462,133.19645444,483.59000000000003,1810.0
-26.240603253012047,133.186516373494,465.5240963855416,1820.0
-26.329894931506846,133.19499150684933,440.0917808219174,1830.0
-26.40833476041667,133.24122189583335,424.94791666666555,1840.0
-26.495892408163268,133.25681812244898,423.0224489795918,1850.0
-26.585357926829268,133.2515724390244,419.5658536585368,1860.0
-26.668622602739724,133.28769479452055,401.69315068493137,1870.0
-26.752935189873416,133.32180311392406,397.0303797468353,1880.0
-26.840047,133.3389035,412.68999999999795,1890.0
-26.9129,133.37665,397.3,1900.0
-26.98810125,133.4131225,374.95000000000016,1910.0
-27.067533684210527,133.45965684210526,376.33684210526377,1920.0
-27.137522399999998,133.51811039999998,368.78799999999933,1930.0
-27.221502625,133.5515226875,340.39750000000004,1940.0
-27.293367962025314,133.61182879746838,321.7025316455701,1950.0
-27.368175263157895,133.6669752631579,318.4421052631574,1960.0
-27.44197012328767,133.72394069863014,288.02191780821926,1970.0
-27.512120437500002,133.78694930208334,296.4114583333321,1980.0
-27.58659985882353,133.84350714117647,291.1694117647055,1990.0
-27.651934887755104,133.9121206122449,291.3622448979589,2000.0
-27.72043717948718,133.97588615384615,309.00769230769214,2010.0
-27.7992,134.01961,296.5,2020.0
-27.885357272727273,134.04621272727275,289.9545454545464,2030.0
-27.96151907692308,134.09982830769232,277.73230769230776,2040.0
-28.048714939759034,134.1065591566265,283.1168674698791,2050.0
-28.132284244444445,134.13298527777778,276.44888888888863,2060.0
-28.219184420289857,134.15116369565217,274.93188405797093,2070.0
-28.30825624742268,134.1626744742268,277.3,2080.0
-28.395760625,134.1847959375,266.76875000000064,2090.0
-28.481099698795184,134.2020194578313,269.12650602409644,2100.0
-28.55601155172414,134.25606896551724,277.76206896551736,2110.0
-28.62568943181818,134.31770568181818,269.7045454545464,2120.0
-28.666834615384616,134.40668384615384,269.08461538461506,2130.0
-28.72749233333333,134.47770616666668,256.0,2140.0
-28.80099170212766,134.53538382978724,234.26382978723348,2150.0
-28.86138805882353,134.60762958823528,222.0,2160.0
-28.93425,134.66608,225.1,2170.0
-29.008301294117647,134.711256,226.9505882352948,2180.0
-29.04381810810811,134.79783027027028,224.13783783783836,2190.0
-29.093034848101265,134.88262679746836,210.54936708860777,2200.0
-29.168,134.93572,222.05,2210.0
-29.252348655172415,134.96177586206898,216.31034482758676,2220.0
-29.34001215686275,134.98368843137257,202.74705882353194,2230.0
-29.425361369047618,135.01253595238097,206.66428571428594,2240.0
-29.510711807228915,135.03660951807228,186.95180722891686,2250.0
-29.58857347826087,135.08204086956522,197.0,2260.0
-29.65785222222222,135.13456747474748,236.41010101010076,2270.0
-29.746083125,135.1187221875,212.13750000000195,2280.0
-29.835380731707318,135.12415602439026,180.17073170731717,2290.0
-29.918220819672133,135.15532475409836,178.77377049180302,2300.0
-30.003616166666667,135.18507670833333,172.51666666666674,2310.0
-30.09189169767442,135.19521,183.16046511627886,2320.0
-30.18105646153846,135.2006776923077,186.0,2330.0
-30.24955966292135,135.26535303370787,190.26067415730353,2340.0
-30.33123823076923,135.3065496923077,180.93076923077038,2350.0
-30.410671075949367,135.3492211392405,172.1,2360.0
